SELF-PROXY SCANNER — Uses our own VPS IPs as proxy network
States: ['LA'] | Workers: 150 | chunked list (bounded RAM)
Self-proxy pool: 7 unique VPS IPs
SHARD: 0/1 (env) — only scanning 1/1 of the space, zero overlap with other nodes
============================================================
       87/1,000,000 | 3/min | ETA:6158h | 62,100 searches
       89/1,000,000 | 3/min | ETA:6065h | 62,400 searches
       89/1,000,000 | 3/min | ETA:6087h | 62,700 searches
       89/1,000,000 | 3/min | ETA:6115h | 63,000 searches
       89/1,000,000 | 3/min | ETA:6138h | 63,300 searches
       89/1,000,000 | 3/min | ETA:6166h | 63,600 searches
       89/1,000,000 | 3/min | ETA:6184h | 63,900 searches
       89/1,000,000 | 3/min | ETA:6219h | 64,200 searches
       89/1,000,000 | 3/min | ETA:6249h | 64,500 searches
       89/1,000,000 | 3/min | ETA:6267h | 64,800 searches
       89/1,000,000 | 3/min | ETA:6306h | 65,100 searches
       89/1,000,000 | 3/min | ETA:6332h | 65,400 searches
       90/1,000,000 | 3/min | ETA:6292h | 65,700 searches
       90/1,000,000 | 3/min | ETA:6313h | 66,000 searches
       90/1,000,000 | 3/min | ETA:6346h | 66,300 searches
       92/1,000,000 | 3/min | ETA:6234h | 66,600 searches
       92/1,000,000 | 3/min | ETA:6258h | 66,900 searches
       93/1,000,000 | 3/min | ETA:6223h | 67,200 searches
       94/1,000,000 | 3/min | ETA:6188h | 67,500 searches
       94/1,000,000 | 3/min | ETA:6212h | 67,800 searches
       95/1,000,000 | 3/min | ETA:6181h | 68,100 searches
       95/1,000,000 | 3/min | ETA:6212h | 68,400 searches
       97/1,000,000 | 3/min | ETA:6112h | 68,700 searches
       97/1,000,000 | 3/min | ETA:6135h | 69,000 searches
       97/1,000,000 | 3/min | ETA:6151h | 69,300 searches
       97/1,000,000 | 3/min | ETA:6173h | 69,600 searches
       97/1,000,000 | 3/min | ETA:6196h | 69,900 searches
       97/1,000,000 | 3/min | ETA:6221h | 70,200 searches
       97/1,000,000 | 3/min | ETA:6247h | 70,500 searches
       97/1,000,000 | 3/min | ETA:6271h | 70,800 searches
       97/1,000,000 | 3/min | ETA:6286h | 71,100 searches
       97/1,000,000 | 3/min | ETA:6312h | 71,400 searches
       97/1,000,000 | 3/min | ETA:6333h | 71,700 searches
       97/1,000,000 | 3/min | ETA:6371h | 72,000 searches
       98/1,000,000 | 3/min | ETA:6329h | 72,300 searches
       99/1,000,000 | 3/min | ETA:6292h | 72,600 searches
       99/1,000,000 | 3/min | ETA:6319h | 72,900 searches
       99/1,000,000 | 3/min | ETA:6335h | 73,200 searches
       99/1,000,000 | 3/min | ETA:6359h | 73,500 searches
       99/1,000,000 | 3/min | ETA:6375h | 73,800 searches
       99/1,000,000 | 3/min | ETA:6401h | 74,100 searches
       99/1,000,000 | 3/min | ETA:6432h | 74,400 searches
       99/1,000,000 | 3/min | ETA:6467h | 74,700 searches
       99/1,000,000 | 3/min | ETA:6493h | 75,000 searches
